HMT	Notes
849	
852	
176	Reads equidistant to HMT-176 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-176 and HMT-893 individually at this body site (SUBP).
169	
170	Reads equidistant to HMT-170 and HMT-171 were assigned to each taxon in proportion to the abundance of HMT-170 and HMT-171 individually at this body site (SUPP).
171	Neither HMT-171 nor HMT-688 were present singularly so these reads were split evenly at this site (RRC).;Because HMT-688 is not present individually, all equidistant reads were assigned to HMT-171 at these sites (SUBP, SUPP). 
175	Because HMT-688 is not present individually, all equidistant reads were assigned to HMT-175 at these sites (AKE,BMU,SUBP,SUPP).;Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (ANA,HPA,LAF,LRC,PTO,RAF,SAL,THR). 
183	
617	
671	Reads equidistant to HMT-180 and HMT-671 were assigned to each taxon in proportion to the abundance of HMT-180 and HMT-671 individually at this body site (PTO).
701	Because HMT-180 is not present individually, all equidistant reads were assigned to HMT-701 at these sites (AKE,RAF,RRC).;Reads equidistant to HMT-180 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-180 and HMT-701 individually at these sites (BMU,HPA,PTO).;Neither HMT-180 nor HMT-701 were present singularly so these reads were split evenly at these sites (LRC,STO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at these sites (HPA,LAF,PTO,THR).;Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at these sites (SAL,THR,TDO).
172	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at these sites (HPA,PTO,SAL,THR,TDO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-172 because they are too close to differentiate at these sites (HPA,PTO,THR).; 
595	
666	
77	
173	
188	
587	
681	
194	
530	
723	
279	
930	
473	
914	Reads equidistant to HMT-308 and HMT-914 were assigned to each taxon in proportion to the abundance of HMT-308 and HMT-914 individually at this body site (SAL).
466	
299	
693	
714	
781	
472	Because HMT-658 is not present individually, all equidistant reads were assigned to HMT-472 at these sites (SUBP,SUPP).
942	
286	Reads equidistant to HMT-286 and HMT-808 were assigned to each taxon in proportion to the abundance of HMT-286 and HMT-808 individually at this body site (SUBP).
337	
325	
329	
775	
206	
322	
931	
46	Some of the reads equidistant from these taxa (046-626-757) are included in HMT-046 because they are too close to differentiate at these sites (AKE,BMU).
389	
534	
596	
880	
838	
576	
644	
686	
