Taxonomy	Rank	HMT	Notes	Max	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev
Bacteria	domain			84.063	84.063	61.319	99.059	19.093	100.0
Bacteria;Patescibacteria	phylum			0.03	0.03	0.0	0.024	0.148	11.521
Bacteria;Actinomycetota	phylum			54.3	54.3	10.258	90.079	28.499	100.0
Bacteria;Bacteroidota	phylum			1.093	1.093	0.0	3.058	2.385	71.889
Bacteria;Bacillota	phylum			22.231	22.231	3.165	53.121	21.602	99.539
Bacteria;Fusobacteriota	phylum			0.688	0.688	0.0	1.637	1.754	56.682
Bacteria;Pseudomonadota	phylum			5.669	5.669	0.488	12.963	8.495	98.618
Bacteria;Candidatus Saccharimonadota	phylum			0.035	0.035	0.0	0.043	0.181	14.286
Bacteria;Spirochaetota	phylum			0.01	0.01	0.0	0.0	0.114	1.382
Bacteria;Synergistota	phylum			0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.03	0.03	0.0	0.024	0.148	11.521
Bacteria;Actinomycetota;Actinomycetes	klass			54.155	54.155	9.635	90.079	28.598	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.145	0.145	0.0	0.272	0.578	20.276
Bacteria;Bacteroidota;Bacteroidia	klass			0.76	0.76	0.0	1.874	1.639	64.516
Bacteria;Bacteroidota;Flavobacteriia	klass			0.333	0.333	0.0	0.712	1.21	40.553
Bacteria;Bacillota;Bacilli	klass			20.534	20.534	2.622	52.703	21.328	99.539
Bacteria;Bacillota;Clostridia	klass			0.946	0.946	0.0	2.395	1.964	69.124
Bacteria;Bacillota;Erysipelotrichia	klass			0.011	0.011	0.0	0.0	0.056	5.991
Bacteria;Bacillota;Negativicutes	klass			0.74	0.74	0.0	1.763	1.503	66.359
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.688	0.688	0.0	1.637	1.754	56.682
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.943	0.943	0.0	2.354	2.145	69.124
Bacteria;Pseudomonadota;Betaproteobacteria	klass			3.675	3.675	0.105	8.27	7.38	94.009
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.186	0.186	0.0	0.099	1.416	17.051
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.865	0.865	0.004	1.918	2.125	89.862
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.035	0.035	0.0	0.043	0.181	14.286
Bacteria;Spirochaetota;Spirochaetia	klass			0.01	0.01	0.0	0.0	0.114	1.382
Bacteria;Synergistota;Synergistia	klass			0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.03	0.03	0.0	0.024	0.148	11.521
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.489	0.489	0.0	1.411	1.055	60.369
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			8.707	8.707	0.4	20.459	10.196	96.774
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			1.084	1.084	0.0	2.639	1.931	79.724
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			43.875	43.875	6.305	82.503	27.712	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.071	0.071	0.0	0.081	0.347	14.286
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.073	0.073	0.0	0.0	0.469	6.912
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.76	0.76	0.0	1.874	1.639	64.516
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.333	0.333	0.0	0.712	1.21	40.553
Bacteria;Bacillota;Bacilli;Caryophanales	order			12.853	12.853	0.603	44.719	21.193	97.235
Bacteria;Bacillota;Bacilli;Lactobacillales	order			7.681	7.681	0.665	18.117	7.749	98.157
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.946	0.946	0.0	2.395	1.964	69.124
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.011	0.011	0.0	0.0	0.056	5.991
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.04	0.04	0.0	0.0	0.203	6.452
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.7	0.7	0.0	1.614	1.489	65.899
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.688	0.688	0.0	1.637	1.754	56.682
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.267	0.267	0.0	0.78	0.734	38.249
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.294	0.294	0.0	0.75	1.504	34.101
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.129	0.129	0.0	0.299	0.54	29.954
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	order			0.068	0.068	0.0	0.0	0.538	7.834
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.186	0.186	0.0	0.236	0.977	29.493
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			2.552	2.552	0.0	4.701	6.84	85.714
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.123	1.123	0.0	2.716	2.902	70.968
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.186	0.186	0.0	0.099	1.416	17.051
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.116	0.116	0.0	0.154	0.66	39.171
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.326	0.326	0.0	0.414	1.699	56.682
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.341	0.341	0.0	0.74	0.888	64.516
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.082	0.082	0.0	0.07	0.387	13.825
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.035	0.035	0.0	0.043	0.181	14.286
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			0.01	0.01	0.0	0.0	0.114	1.382
