Taxonomy	Rank	HMT	Notes	Max	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria	domain			97.758	97.758	95.94	99.712	5.064	100.0
Bacteria;Patescibacteria	phylum			0.276	0.276	0.0	0.756	0.708	50.595
Bacteria;Actinomycetota	phylum			9.502	9.502	2.538	18.085	6.671	99.702
Bacteria;Bacteroidota	phylum			19.168	19.168	8.024	29.882	8.454	99.702
Bacteria;Bacillota	phylum			44.098	44.098	26.553	64.776	15.338	100.0
Bacteria;Fusobacteriota	phylum			10.424	10.424	2.139	21.74	8.453	99.405
Bacteria;Pseudomonadota	phylum			12.657	12.657	2.748	27.559	12.753	100.0
Bacteria;Candidatus Saccharimonadota	phylum			1.482	1.482	0.072	3.322	1.703	94.643
Bacteria;Spirochaetota	phylum			0.11	0.11	0.0	0.271	0.314	47.024
Bacteria;Synergistota	phylum			0.013	0.013	0.0	0.012	0.072	11.31
Bacteria;Mycoplasmatota	phylum			0.029	0.029	0.0	0.062	0.118	23.512
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.276	0.276	0.0	0.756	0.708	50.595
Bacteria;Actinomycetota;Actinomycetes	klass			8.855	8.855	2.297	17.2	6.414	99.702
Bacteria;Actinomycetota;Coriobacteriia	klass			0.647	0.647	0.0	1.56	0.712	87.5
Bacteria;Bacteroidota;Bacteroidia	klass			17.885	17.885	7.246	28.766	8.337	99.702
Bacteria;Bacteroidota;Flavobacteriia	klass			1.283	1.283	0.022	3.442	2.223	93.75
Bacteria;Bacillota;Bacilli	klass			26.373	26.373	8.426	50.736	17.068	100.0
Bacteria;Bacillota;Clostridia	klass			5.531	5.531	1.6	10.264	3.518	99.107
Bacteria;Bacillota;Erysipelotrichia	klass			0.453	0.453	0.017	0.993	0.486	90.774
Bacteria;Bacillota;Negativicutes	klass			11.742	11.742	4.329	19.493	6.035	99.702
Bacteria;Fusobacteriota;Fusobacteriia	klass			10.424	10.424	2.139	21.74	8.453	99.405
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.04	0.04	0.0	0.029	0.225	14.286
Bacteria;Pseudomonadota;Betaproteobacteria	klass			7.828	7.828	0.255	21.452	11.459	99.405
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			2.536	2.536	0.402	5.468	2.293	98.214
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			2.253	2.253	0.066	4.118	6.541	97.321
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			1.482	1.482	0.072	3.322	1.703	94.643
Bacteria;Spirochaetota;Spirochaetia	klass			0.11	0.11	0.0	0.271	0.314	47.024
Bacteria;Synergistota;Synergistia	klass			0.013	0.013	0.0	0.012	0.072	11.31
Bacteria;Mycoplasmatota;Mollicutes	klass			0.029	0.029	0.0	0.062	0.118	23.512
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.276	0.276	0.0	0.756	0.708	50.595
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			6.637	6.637	1.356	14.435	5.502	99.405
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.134	0.134	0.0	0.169	0.846	47.917
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			1.857	1.857	0.136	4.32	2.147	96.726
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.226	0.226	0.0	0.286	1.013	43.155
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.647	0.647	0.0	1.56	0.712	87.5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			17.885	17.885	7.246	28.766	8.337	99.702
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			1.283	1.283	0.022	3.442	2.223	93.75
Bacteria;Bacillota;Bacilli;Caryophanales	order			1.905	1.905	0.134	4.266	2.721	97.321
Bacteria;Bacillota;Bacilli;Lactobacillales	order			24.468	24.468	7.9	47.187	15.715	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			5.531	5.531	1.6	10.264	3.518	99.107
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.453	0.453	0.017	0.993	0.486	90.774
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			1.021	1.021	0.0	2.594	2.031	88.988
Bacteria;Bacillota;Negativicutes;Veillonellales	order			10.721	10.721	3.917	17.59	5.619	99.702
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			10.424	10.424	2.139	21.74	8.453	99.405
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.007	0.007	0.0	0.0	0.057	5.06
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.033	0.033	0.0	0.011	0.211	10.714
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.316	0.316	0.0	0.754	0.972	75.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			7.512	7.512	0.201	21.446	11.45	98.214
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			2.536	2.536	0.402	5.468	2.293	98.214
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.104	0.104	0.0	0.0	1.865	3.274
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.684	1.684	0.066	3.67	4.875	97.321
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.466	0.466	0.0	0.0	3.759	9.524
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			1.482	1.482	0.072	3.322	1.703	94.643
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			0.11	0.11	0.0	0.271	0.314	47.024
Bacteria;Synergistota;Synergistia;Synergistales	order			0.013	0.013	0.0	0.012	0.072	11.31
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.029	0.029	0.0	0.062	0.118	23.512
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.276	0.276	0.0	0.756	0.708	50.595
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			6.637	6.637	1.356	14.435	5.502	99.405
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.127	0.127	0.0	0.148	0.844	45.238
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.008	0.008	0.0	0.0	0.068	5.06
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			1.857	1.857	0.136	4.32	2.147	96.726
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.226	0.226	0.0	0.286	1.013	43.155
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.647	0.647	0.0	1.56	0.712	87.5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.062	0.062	0.0	0.048	0.339	17.56
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	family			0.008	0.008	0.0	0.0	0.141	0.595
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.043	0.043	0.0	0.033	0.471	19.94
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.949	2.949	0.056	8.436	3.742	94.643
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			14.64	14.64	4.42	25.586	8.133	99.702
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.183	0.183	0.0	0.492	0.422	51.786
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.994	0.994	0.0	2.961	2.103	81.25
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.288	0.288	0.0	0.7	0.426	84.821
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			1.852	1.852	0.102	4.13	2.695	95.833
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.053	0.053	0.0	0.064	0.328	27.679
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.04	0.04	0.0	0.084	0.133	28.869
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			1.652	1.652	0.233	3.387	1.804	97.917
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.007	0.007	0.0	0.0	0.042	6.548
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			22.77	22.77	7.49	44.69	15.202	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales [F1]	family			0.011	0.011	0.0	0.0	0.072	4.464
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			4.359	4.359	1.164	8.74	2.995	98.81
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.037	0.037	0.0	0.12	0.071	42.262
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.466	0.466	0.0	1.096	0.526	86.905
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.227	0.227	0.0	0.538	0.3	84.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.297	0.297	0.0	0.867	0.511	74.107
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae	family			0.002	0.002	0.0	0.0	0.028	1.786
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.451	0.451	0.017	0.993	0.485	90.774
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			1.021	1.021	0.0	2.594	2.031	88.988
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			10.721	10.721	3.917	17.59	5.619	99.702
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.134	0.134	0.0	0.228	0.512	40.774
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			5.455	5.455	0.443	11.098	6.082	97.619
