Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria	domain			81.624	81.624	55.494	98.586	19.87	100.0
Bacteria;Actinomycetota	phylum			50.82	50.82	10.314	87.514	28.092	99.425
Bacteria;Bacteroidota	phylum			0.877	0.877	0.0	2.074	1.836	72.414
Bacteria;Bacillota	phylum			22.537	22.537	3.13	54.525	21.602	99.425
Bacteria;Fusobacteriota	phylum			0.697	0.697	0.0	1.487	2.398	59.77
Bacteria;Patescibacteria	phylum			0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota	phylum			6.554	6.554	0.61	14.918	8.784	99.425
Bacteria;Candidatus Saccharimonadota	phylum			0.132	0.132	0.0	0.166	0.664	23.563
Bacteria;Actinomycetota;Actinomycetes	klass			50.68	50.68	10.314	87.514	28.162	99.425
Bacteria;Actinomycetota;Coriobacteriia	klass			0.141	0.141	0.0	0.211	0.596	23.563
Bacteria;Bacteroidota;Bacteroidia	klass			0.61	0.61	0.0	1.548	1.476	62.644
Bacteria;Bacteroidota;Flavobacteriia	klass			0.267	0.267	0.0	0.704	0.945	39.655
Bacteria;Bacillota;Bacilli	klass			21.152	21.152	2.791	48.491	21.245	99.425
Bacteria;Bacillota;Clostridia	klass			0.776	0.776	0.0	1.769	2.955	69.54
Bacteria;Bacillota;Negativicutes	klass			0.609	0.609	0.0	1.919	1.096	68.966
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.697	0.697	0.0	1.487	2.398	59.77
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			1.283	1.283	0.0	3.341	2.704	82.759
Bacteria;Pseudomonadota;Betaproteobacteria	klass			4.186	4.186	0.18	10.453	7.153	97.126
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.105	0.105	0.0	0.308	0.457	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.979	0.979	0.0	1.928	2.464	86.782
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.132	0.132	0.0	0.166	0.664	23.563
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.418	0.418	0.0	1.309	0.922	54.598
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			7.135	7.135	0.231	14.611	8.901	93.103
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			1.22	1.22	0.0	3.492	1.993	81.609
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			41.907	41.907	6.371	78.751	26.648	99.425
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.094	0.094	0.0	0.133	0.449	19.54
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.047	0.047	0.0	0.0	0.4	6.897
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.61	0.61	0.0	1.548	1.476	62.644
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.267	0.267	0.0	0.704	0.945	39.655
Bacteria;Bacillota;Bacilli;Caryophanales	order			12.831	12.831	0.608	39.843	19.267	97.126
Bacteria;Bacillota;Bacilli;Lactobacillales	order			8.321	8.321	0.698	18.311	12.09	97.701
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.776	0.776	0.0	1.769	2.955	69.54
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.043	0.043	0.0	0.0	0.436	8.046
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.566	0.566	0.0	1.919	0.941	68.391
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.697	0.697	0.0	1.487	2.398	59.77
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.41	0.41	0.0	1.485	0.955	45.402
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.496	0.496	0.0	1.144	1.944	47.701
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.107	0.107	0.0	0.169	0.368	27.011
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	order			0.079	0.079	0.0	0.0	0.497	9.195
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.191	0.191	0.0	0.303	0.914	28.736
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			3.189	3.189	0.03	6.463	6.711	93.678
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			0.984	0.984	0.0	2.414	2.447	71.839
Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales	order			0.014	0.014	0.0	0.0	0.133	1.724
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.105	0.105	0.0	0.308	0.457	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.217	0.217	0.0	0.187	1.571	36.207
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.144	0.144	0.0	0.366	0.349	54.598
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.574	0.574	0.0	1.24	1.855	75.287
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.043	0.043	0.0	0.068	0.208	18.966
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.132	0.132	0.0	0.166	0.664	23.563
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.418	0.418	0.0	1.309	0.922	54.598
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			5.665	5.665	0.164	10.692	8.8	93.103
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			1.47	1.47	0.0	3.493	2.251	75.287
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae	family			0.035	0.035	0.0	0.069	0.14	16.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae	family			0.009	0.009	0.0	0.0	0.094	1.149
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae	family			0.03	0.03	0.0	0.0	0.157	6.322
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae	family			0.028	0.028	0.0	0.0	0.167	5.747
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			1.118	1.118	0.0	3.343	1.941	80.46
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			41.907	41.907	6.371	78.751	26.648	99.425
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.057	0.057	0.0	0.112	0.228	17.241
