Taxonomy	Rank	HMT	Notes	Max	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev
Bacteria	domain			95.287	95.287	91.05	98.99	2.965	100.0
Bacteria;Patescibacteria	phylum			0.282	0.282	0.0	1.007	0.5	65.563
Bacteria;Actinomycetota	phylum			28.551	28.551	12.679	46.821	14.791	97.351
Bacteria;Bacteroidota	phylum			15.414	15.414	4.735	26.818	9.054	100.0
Bacteria;Bacillota	phylum			23.04	23.04	11.372	34.003	9.97	100.0
Bacteria;Fusobacteriota	phylum			8.175	8.175	0.817	19.119	7.227	99.338
Bacteria;Pseudomonadota	phylum			17.617	17.617	6.973	34.848	10.787	100.0
Bacteria;Candidatus Saccharimonadota	phylum			1.952	1.952	0.02	5.293	2.458	91.391
Bacteria;Spirochaetota	phylum			0.191	0.191	0.0	0.559	0.472	54.967
Bacteria;Synergistota	phylum			0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota	phylum			0.042	0.042	0.0	0.009	0.415	11.258
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.282	0.282	0.0	1.007	0.5	65.563
Bacteria;Actinomycetota;Actinomycetes	klass			28.533	28.533	12.679	46.821	14.793	97.351
Bacteria;Actinomycetota;Coriobacteriia	klass			0.019	0.019	0.0	0.063	0.039	38.411
Bacteria;Bacteroidota;Bacteroidia	klass			4.622	4.622	0.203	10.539	4.738	98.013
Bacteria;Bacteroidota;Flavobacteriia	klass			10.791	10.791	3.294	17.472	6.73	100.0
Bacteria;Bacillota;Bacilli	klass			17.533	17.533	6.998	28.584	9.321	100.0
Bacteria;Bacillota;Clostridia	klass			0.607	0.607	0.019	1.565	0.769	94.702
Bacteria;Bacillota;Erysipelotrichia	klass			0.01	0.01	0.0	0.03	0.028	28.477
Bacteria;Bacillota;Negativicutes	klass			4.89	4.89	0.484	9.65	4.764	99.338
Bacteria;Fusobacteriota;Fusobacteriia	klass			8.175	8.175	0.817	19.119	7.227	99.338
Bacteria;Pseudomonadota;Betaproteobacteria	klass			13.937	13.937	4.49	26.951	10.259	99.338
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			1.906	1.906	0.083	5.193	2.199	98.675
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			1.775	1.775	0.052	3.629	4.044	98.675
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			1.952	1.952	0.02	5.293	2.458	91.391
Bacteria;Spirochaetota;Spirochaetia	klass			0.191	0.191	0.0	0.559	0.472	54.967
Bacteria;Synergistota;Synergistia	klass			0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota;Mollicutes	klass			0.042	0.042	0.0	0.009	0.415	11.258
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.128	0.128	0.0	0.402	0.314	52.98
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			10.887	10.887	2.288	23.374	8.807	96.689
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			8.518	8.518	0.638	16.837	6.528	96.026
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			8.24	8.24	1.026	17.695	8.783	96.026
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.889	0.889	0.014	2.253	1.422	92.715
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.019	0.019	0.0	0.063	0.039	38.411
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			4.622	4.622	0.203	10.539	4.738	98.013
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			10.791	10.791	3.294	17.472	6.73	100.0
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.517	0.517	0.023	1.019	0.842	94.702
