Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	ST-mean	ST-10p	ST-90p	ST-sd	ST-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev
Bacteria	domain			99.865	99.702	99.66	99.98	0.861	100.0	99.322	98.482	100.0	1.848	100.0	99.559	99.734	100.002	1.841	100.0	99.367	99.544	99.998	3.005	100.0	1.887	0.033	4.407	5.543	96.104	98.782	97.63	99.996	2.891	100.0	99.267	98.489	99.972	1.307	100.0	98.863	97.087	99.947	2.125	100.0	99.865	99.627	100.105	0.725	100.0	99.43	98.972	100.009	1.524	100.0
Bacteria;Firmicutes	phylum			74.909	74.909	55.311	93.059	14.183	100.0	68.459	51.143	87.67	14.117	100.0	74.537	49.724	93.789	16.376	100.0	51.096	29.944	76.322	18.254	100.0	1.834	0.0	4.376	5.526	84.416	24.422	12.075	39.912	13.156	100.0	25.375	12.59	39.789	10.493	100.0	42.89	27.591	56.796	11.512	100.0	46.197	29.155	63.484	13.32	100.0	51.17	31.573	73.612	16.447	100.0
Bacteria;Proteobacteria	phylum			17.628	8.131	2.02	15.446	7.061	100.0	8.255	2.304	16.569	5.721	100.0	10.625	2.143	23.697	9.289	100.0	12.073	2.764	24.562	9.156	100.0	0.018	0.0	0.064	0.042	27.273	15.108	4.97	28.65	10.057	100.0	17.628	6.717	32.446	10.417	100.0	16.356	7.255	26.746	8.322	100.0	15.668	4.004	34.802	11.463	100.0	12.956	2.589	24.334	11.979	100.0
Bacteria;Spirochaetes	phylum			1.906	0.055	0.0	0.127	0.142	37.662	0.039	0.0	0.13	0.08	38.961	0.001	0.0	0.0	0.005	6.494	0.708	0.0	1.196	2.095	80.519	0.0	0.0	0.0	0.003	2.597	1.906	0.0	6.051	3.639	72.727	0.557	0.0	1.797	1.415	49.351	0.243	0.0	0.443	0.754	64.935	0.051	0.0	0.17	0.108	40.26	0.181	0.0	0.409	0.504	50.649
Bacteria;Actinobacteria	phylum			30.996	7.013	0.629	14.256	7.285	100.0	8.905	2.519	15.916	6.246	98.701	1.966	0.036	4.946	3.972	92.208	8.175	1.865	16.384	6.14	98.701	0.012	0.0	0.05	0.026	25.974	25.099	7.793	44.096	15.88	100.0	30.996	12.33	50.371	15.759	100.0	6.49	1.734	13.136	6.006	97.403	16.133	6.49	25.864	8.786	100.0	11.119	1.921	20.686	8.422	100.0
Bacteria;Fusobacteria	phylum			9.985	1.831	0.196	3.893	1.971	98.701	2.161	0.337	4.696	1.741	98.701	2.076	0.012	6.619	4.331	90.909	8.755	1.597	18.951	7.623	100.0	0.003	0.0	0.0	0.009	9.091	9.985	1.039	19.292	9.56	98.701	6.598	0.283	14.979	6.34	100.0	3.087	0.708	6.114	2.045	98.701	5.361	0.43	12.607	4.569	100.0	6.546	0.688	14.376	6.462	100.0
Bacteria;Bacteroidetes	phylum			19.213	7.367	1.337	16.836	5.566	100.0	10.718	3.961	18.504	5.994	100.0	10.071	0.741	25.206	11.033	100.0	16.657	7.034	27.684	8.351	100.0	0.012	0.0	0.047	0.023	31.169	19.213	3.988	31.283	10.393	100.0	15.677	3.7	26.853	8.755	100.0	17.622	9.783	25.481	6.59	100.0	14.301	5.683	25.046	7.55	100.0	15.084	7.012	23.535	7.103	100.0
Bacteria;Saccharibacteria_(TM7)	phylum			12.121	0.389	0.0	0.829	0.721	83.117	0.777	0.045	1.788	0.789	94.805	0.284	0.0	1.118	0.708	51.948	1.901	0.068	5.067	2.699	97.403	0.007	0.0	0.027	0.025	14.286	2.896	0.025	6.317	4.646	92.208	2.266	0.018	6.197	3.245	89.61	12.121	1.345	30.678	12.855	98.701	2.154	0.052	5.768	2.579	92.208	2.367	0.136	6.002	2.508	94.805
Bacteria;Gracilibacteria_(GN02)	phylum			0.169	0.007	0.0	0.017	0.024	15.584	0.008	0.0	0.018	0.033	15.584	0.001	0.0	0.0	0.004	2.597	0.002	0.0	0.0	0.007	6.494	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.555	0.389	37.662	0.169	0.0	0.469	0.384	41.558	0.054	0.0	0.148	0.126	40.26	0.001	0.0	0.0	0.006	3.896	0.006	0.0	0.008	0.021	10.39
Bacteria;Firmicutes;Clostridia	class			6.365	0.651	0.038	1.639	0.679	94.805	2.232	0.445	4.624	1.777	100.0	0.12	0.0	0.321	0.26	63.636	4.438	0.952	7.471	3.42	100.0	0.009	0.0	0.034	0.023	23.377	0.999	0.048	2.126	0.914	92.208	0.758	0.0	2.407	1.064	88.312	6.365	1.997	12.355	4.648	98.701	4.261	0.851	7.346	2.925	100.0	5.333	1.209	9.83	3.774	100.0
