Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria	domain			100.001	99.994	0.023	100	100.001	0.008	100	99.999	0.01	100	99.999	0.01	100	99.958	0.102	100	99.984	0.036	100	99.999	0.011	100	100	0.007	100	99.997	0.01	100	99.921	0.063	100
Bacteria;Proteobacteria	phylum			17.658	14.126	11.931	100	15.247	11.787	100	17.658	16.393	100	8.486	8.17	100	8.472	8.496	100	8.234	8.06	100	10.876	10.454	100	13.131	12.391	100	9.011	9.122	100	1.1	1.69	70
Bacteria;Firmicutes	phylum			68.665	68.665	17.464	100	59.768	18.479	100	68.167	20.285	100	53.416	17.594	100	32.197	15.868	100	41.388	15.557	100	56.26	20.006	100	55.268	18.068	100	55.257	14.445	100	20.267	24.307	100
Bacteria;Actinobacteria	phylum			78.476	6.023	5.786	100	6.583	5.406	100	4.121	6.198	100	5.098	5.127	100	16.739	14.744	100	14.16	13.62	100	7.266	5.295	100	6.338	5.018	100	4.78	2.871	100	78.476	24.771	100
Bacteria;Spirochaetes	phylum			1.366	0.097	0.269	64.706	0.028	0.07	60.714	0.026	0.053	47.222	0.328	0.874	77.419	1.366	3.435	91.429	0.235	0.499	76.471	0.018	0.021	61.111	0.01	0.025	55.882	0.057	0.126	87.879	0	0	0
Bacteria;Fusobacteria	phylum			19.097	4.312	4.67	100	4.392	5.76	100	3.523	4.653	100	9.537	9.476	100	19.097	14.494	100	18.606	12.683	100	4.912	5.507	100	8.045	9.812	100	8.988	8.976	100	0.018	0.041	30
Bacteria;Bacteroidetes	phylum			21.526	6.275	6.493	100	13.655	11.194	100	5.963	7.242	100	21.526	12.042	100	16.774	10.439	100	14.197	9.048	100	19.559	16.097	100	16.637	11.017	100	20.712	9.136	100	0.057	0.109	40
Bacteria;Absconditabacteria_(SR1)	phylum			0.604	0.029	0.051	52.941	0.046	0.109	53.571	0.073	0.159	50	0.604	1.4	64.516	0.209	1.407	57.143	0.059	0.16	55.882	0.329	1.051	63.889	0.106	0.379	55.882	0.364	0.839	63.636	0	0	0
Bacteria;Saccharibacteria_(TM7)	phylum			4.575	0.418	0.913	100	0.259	0.445	96.429	0.458	0.924	91.667	0.807	1.373	100	4.575	6.904	100	2.986	5.847	100	0.764	2.21	100	0.461	0.631	100	0.805	1.139	100	0.003	0.009	10
Bacteria;Synergistetes	phylum			0.392	0.032	0.078	50	0.009	0.021	28.571	0.004	0.013	25	0.072	0.277	45.161	0.392	1.2	57.143	0.024	0.048	47.059	0.006	0.012	41.667	0.001	0.003	17.647	0.009	0.023	42.424	0	0	0
Bacteria;Chloroflexi	phylum			0.013	0.001	0.003	11.765	0	0.002	7.143	0	0.002	2.778	0	0.001	16.129	0.013	0.065	20	0.001	0.002	14.706	0	0.002	8.333	0	0.001	2.941	0	0.001	3.03	0	0	0
Bacteria;Tenericutes	phylum			0.126	0.014	0.035	41.176	0.008	0.019	35.714	0.003	0.009	25	0.126	0.407	58.065	0.018	0.048	45.714	0.008	0.015	41.176	0.007	0.017	44.444	0.002	0.006	17.647	0.014	0.029	39.394	0	0	0
Bacteria;Gracilibacteria_(GN02)	phylum			0.105	0.004	0.007	29.412	0.007	0.021	25	0.002	0.006	22.222	0.001	0.002	12.903	0.105	0.62	57.143	0.087	0.182	58.824	0.003	0.011	25	0	0	5.882	0.001	0.002	27.273	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria	class			0.235	0.001	0.001	14.706	0.002	0.006	17.857	0.001	0.004	16.667	0.235	1.309	16.129	0.002	0.012	17.143	0.001	0.002	5.882	0	0	5.556	0	0.001	8.824	0.001	0.003	18.182	0	0.001	5
Bacteria;Firmicutes;Clostridia	class			4.317	0.92	1.318	94.118	1.342	1.62	100	1.01	1.994	97.222	4.317	4.401	100	2.832	3.395	100	1.062	0.996	100	2.958	2.804	100	3.241	4.278	100	3.643	4.356	100	0.001	0.003	5
Bacteria;Proteobacteria;Betaproteobacteria	class			7.985	3.746	5.707	100	7.985	9.715	100	3.494	8.129	100	3.875	4.948	96.774	4.168	6.865	100	3.627	5.507	100	5.909	8.211	97.222	7.057	9.972	100	4.558	6.647	96.97	0.756	1.58	65
Bacteria;Firmicutes;Tissierellia	class			3.617	0.154	0.234	85.294	0.193	0.287	100	0.199	0.445	77.778	0.533	1.268	90.323	1.983	3.073	94.286	0.255	0.449	91.176	0.609	1.167	91.667	0.207	0.369	79.412	0.166	0.189	93.939	3.617	6.031	85
Bacteria;Actinobacteria;Actinomycetia	class			78.476	5.917	5.806	100	6.365	5.433	100	3.636	5.058	100	4.342	4.784	100	15.545	14.665	100	13.8	13.708	100	5.894	4.3	100	5.366	4.256	100	4.065	2.621	100	78.476	24.771	100
Bacteria;Firmicutes;Bacilli	class			63.343	63.041	19.131	100	53.578	19.866	100	63.343	23.426	100	42.581	20.626	100	22.279	16.571	100	32.972	14.762	100	47.927	22.522	100	45.228	21.544	100	43.076	16.673	100	16.617	23.932	100
Bacteria;Spirochaetes;Spirochaetia	class			1.366	0.097	0.269	64.706	0.028	0.07	60.714	0.026	0.053	47.222	0.328	0.874	77.419	1.366	3.435	91.429	0.235	0.499	76.471	0.018	0.021	61.111	0.01	0.025	55.882	0.057	0.126	87.879	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria	class			13.884	10.088	9.785	100	6.741	5.207	100	13.884	14.868	100	3.711	4.504	100	2.657	4.314	100	3.28	4.549	100	4.761	4.425	97.222	5.791	7.08	100	3.73	5.233	100	0.339	0.803	45
Bacteria;Actinobacteria;Coriobacteriia	class			1.372	0.106	0.152	100	0.217	0.226	92.857	0.485	1.417	69.444	0.756	1.47	96.774	1.195	4.117	97.143	0.36	0.579	97.059	1.372	2.075	100	0.972	1.505	100	0.714	0.69	100	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria	class			0.021	0.009	0.045	11.765	0.001	0.002	7.143	0	0.001	2.778	0	0.001	6.452	0.021	0.103	28.571	0	0.001	2.941	0	0.001	11.111	0	0	0	0	0.002	3.03	0	0.001	5
Bacteria;Proteobacteria;Epsilonproteobacteria	class			1.623	0.283	0.451	94.118	0.518	1.027	100	0.279	0.582	97.222	0.664	0.575	100	1.623	2.15	100	1.327	1.859	97.059	0.206	0.299	97.222	0.284	0.327	100	0.722	0.859	100	0.005	0.02	10
Bacteria;Firmicutes;Negativicutes	class			8.012	4.502	5.297	100	4.525	3.027	100	3.296	4.191	100	5.666	3.667	100	4.944	6.464	100	7.011	6.43	100	4.176	3.469	100	6.066	4.432	100	8.012	5.363	100	0.03	0.063	25
Bacteria;Fusobacteria;Fusobacteriia	class			19.097	4.312	4.67	100	4.392	5.76	100	3.523	4.653	100	9.537	9.476	100	19.097	14.494	100	18.606	12.683	100	4.912	5.507	100	8.045	9.812	100	8.988	8.976	100	0.018	0.041	30
Bacteria;Bacteroidetes;Flavobacteriia	class			8.394	0.437	0.551	97.059	0.952	2.836	100	0.525	1.006	100	0.252	0.416	100	4.6	5.951	100	8.394	6.419	100	0.438	0.638	97.222	0.489	1.353	100	0.527	1.071	100	0.003	0.013	10
Bacteria;Bacteroidetes;Bacteroidia	class			21.166	5.825	6.173	100	12.7	11.275	100	5.436	6.833	100	21.166	11.991	100	12.074	10.234	100	5.793	5.172	100	19.117	16.018	100	16.148	11.038	100	20.169	9.435	100	0.054	0.103	40
Bacteria;Bacteroidetes;Bacteroidetes_[C-1]	class			0.108	0.012	0.04	32.353	0.003	0.01	21.429	0.002	0.01	16.667	0.108	0.372	35.484	0.1	0.426	42.857	0.01	0.028	26.471	0.003	0.009	30.556	0	0.001	5.882	0.015	0.04	33.333	0	0	0
Bacteria;Absconditabacteria_(SR1);Absconditabacteria_(SR1)_[C-1]	class			0.604	0.029	0.051	52.941	0.046	0.109	53.571	0.073	0.159	50	0.604	1.4	64.516	0.209	1.407	57.143	0.059	0.16	55.882	0.329	1.051	63.889	0.106	0.379	55.882	0.364	0.839	63.636	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1]	class			4.575	0.418	0.913	100	0.259	0.445	96.429	0.458	0.924	91.667	0.807	1.373	100	4.575	6.904	100	2.986	5.847	100	0.764	2.21	100	0.461	0.631	100	0.805	1.139	100	0.003	0.009	10
Bacteria;Synergistetes;Synergistia	class			0.392	0.032	0.078	50	0.009	0.021	28.571	0.004	0.013	25	0.072	0.277	45.161	0.392	1.2	57.143	0.024	0.048	47.059	0.006	0.012	41.667	0.001	0.003	17.647	0.009	0.023	42.424	0	0	0
Bacteria;Chloroflexi;Anaerolineae	class			0.013	0.001	0.003	11.765	0	0.002	7.143	0	0.002	2.778	0	0.001	16.129	0.013	0.065	20	0.001	0.002	14.706	0	0.002	8.333	0	0.001	2.941	0	0.001	3.03	0	0	0
Bacteria;Tenericutes;Mollicutes	class			0.126	0.014	0.035	41.176	0.008	0.019	35.714	0.003	0.009	25	0.126	0.407	58.065	0.018	0.048	45.714	0.008	0.015	41.176	0.007	0.017	44.444	0.002	0.006	17.647	0.014	0.029	39.394	0	0	0
Bacteria;Firmicutes;Erysipelotrichia	class			0.59	0.048	0.062	79.412	0.13	0.167	89.286	0.319	0.904	61.111	0.318	0.424	96.774	0.158	0.391	82.857	0.088	0.272	73.529	0.59	0.785	97.222	0.525	0.808	97.059	0.36	0.608	100	0.002	0.007	5
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1]	class			0.105	0.004	0.007	29.412	0.007	0.021	25	0.001	0.005	22.222	0	0.002	9.677	0.105	0.62	57.143	0.084	0.174	58.824	0.003	0.011	25	0	0	5.882	0.001	0.002	24.242	0	0	0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-2]	class			0.002	0	0	0	0	0.001	3.571	0	0.003	2.778	0	0	3.226	0	0	0	0.002	0.011	8.824	0	0.001	8.333	0	0	0	0	0.001	3.03	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	order			0.209	0	0.001	5.882	0.002	0.005	17.857	0.001	0.003	8.333	0.209	1.166	6.452	0.001	0.01	14.286	0	0.002	2.941	0	0	2.778	0	0	2.941	0	0.001	15.152	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales	order			4.317	0.92	1.318	94.118	1.342	1.62	100	1.01	1.994	97.222	4.317	4.401	100	2.832	3.395	100	1.062	0.996	100	2.958	2.804	100	3.241	4.278	100	3.643	4.356	100	0.001	0.003	5
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	order			7.849	3.402	5.238	100	7.849	9.567	100	3.412	8.084	97.222	3.711	4.852	96.774	3.159	5.658	100	2.196	3.804	100	5.852	8.179	97.222	6.976	9.985	100	4.541	6.647	96.97	0.755	1.581	65
Bacteria;Firmicutes;Tissierellia;Tissierellales	order			3.617	0.154	0.234	85.294	0.193	0.287	100	0.199	0.445	77.778	0.533	1.268	90.323	1.983	3.073	94.286	0.255	0.449	91.176	0.609	1.167	91.667	0.207	0.369	79.412	0.166	0.189	93.939	3.617	6.031	85
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales	order			59.419	0.213	0.297	100	0.561	1.136	96.429	0.121	0.334	91.667	0.633	3.43	70.968	3.308	6.091	100	1.623	1.818	100	0.036	0.047	91.667	0.009	0.034	41.176	0.076	0.283	81.818	59.419	30.259	100
Bacteria;Firmicutes;Bacilli;Lactobacillales	order			60.494	59.163	18.457	100	51.552	19.329	100	60.494	22.734	100	40.436	20.43	100	21.59	16.511	100	32.338	14.997	100	46.158	22.815	100	44.095	21.794	100	41.41	16.415	100	1.034	1.941	90
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	order			1.431	0.344	0.789	85.294	0.136	0.241	85.714	0.082	0.282	80.556	0.164	0.795	67.742	1.009	2.304	94.286	1.431	3.754	88.235	0.056	0.142	77.778	0.081	0.341	35.294	0.017	0.025	75.758	0	0.002	5
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	order			1.366	0.097	0.269	64.706	0.028	0.07	60.714	0.026	0.053	47.222	0.328	0.874	77.419	1.366	3.435	91.429	0.235	0.499	76.471	0.018	0.021	61.111	0.01	0.025	55.882	0.057	0.126	87.879	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	order			0.256	0.001	0.001	26.471	0.002	0.006	17.857	0.001	0.003	13.889	0.095	0.527	16.129	0.001	0.004	14.286	0	0	0	0.001	0.002	13.889	0	0	0	0	0.001	15.152	0.256	0.787	25
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	order			13.881	10.083	9.785	100	6.721	5.193	100	13.881	14.868	100	3.578	4.414	100	2.58	4.275	100	3.176	4.547	100	4.758	4.424	97.222	5.79	7.08	100	3.725	5.221	100	0.014	0.036	20
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	order			0	0	0.001	5.882	0	0	3.571	0	0	2.778	0	0	0	0	0	0	0	0.001	2.941	0	0	0	0	0	0	0	0	3.03	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	order			1.368	0.104	0.149	100	0.217	0.226	92.857	0.483	1.414	69.444	0.754	1.47	96.774	1.177	4.114	97.143	0.355	0.574	97.059	1.368	2.073	100	0.971	1.504	100	0.713	0.689	100	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales	order			0	0	0.003	2.941	0	0	3.571	0	0	0	0	0.001	3.226	0	0.001	2.857	0	0	0	0	0.001	2.778	0	0	0	0	0	0	0	0.001	5
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	order			0.021	0.008	0.045	8.824	0	0.002	3.571	0	0.001	2.778	0	0.001	6.452	0.021	0.103	28.571	0	0.001	2.941	0	0.001	8.333	0	0	0	0	0.002	3.03	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	order			1.623	0.283	0.451	94.118	0.518	1.027	100	0.279	0.582	97.222	0.664	0.575	100	1.623	2.15	100	1.327	1.859	97.059	0.206	0.299	97.222	0.284	0.327	100	0.722	0.859	100	0.005	0.02	10
Bacteria;Firmicutes;Bacilli;Bacillales	order			15.583	3.878	6.357	100	2.026	1.883	100	2.85	3.513	100	2.146	2.955	100	0.689	1.008	100	0.634	0.944	100	1.77	1.886	100	1.133	1.007	100	1.666	2.232	100	15.583	23.19	100
Bacteria;Actinobacteria;Actinomycetia;Micrococcales	order			5.299	4.511	5.502	100	3.882	5.597	100	0.774	1.525	100	0.851	1.339	96.774	5.299	8.122	100	3.36	5.92	100	3.054	3.255	100	1.61	2.139	100	1.047	1.018	100	0.016	0.025	50
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	order			0	0	0	0	0	0.001	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	5
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales	order			19.031	0.022	0.024	82.353	0.046	0.078	75	0.05	0.249	77.778	0.021	0.095	51.613	0.501	1.05	94.286	0.419	0.84	88.235	0.008	0.011	75	0.003	0.008	26.471	0.018	0.038	57.576	19.031	21.65	100
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	order			0.068	0.001	0.002	14.706	0.001	0.002	10.714	0	0.001	8.333	0.035	0.192	9.677	0.001	0.004	20	0.001	0.005	8.824	0	0	5.556	0	0	2.941	0	0.001	3.03	0.068	0.263	15
Bacteria;Firmicutes;Negativicutes;Veillonellales	order			7.785	4.382	5.243	100	4.468	2.957	100	3.23	4.132	100	5.446	3.712	100	3.977	6.599	100	5.514	5.886	100	4.091	3.411	100	6.016	4.415	100	7.785	5.404	100	0.03	0.061	25
Bacteria;Firmicutes;Negativicutes;Selenomonadales	order			1.496	0.12	0.253	82.353	0.057	0.117	85.714	0.066	0.11	72.222	0.221	0.429	93.548	0.967	1.309	100	1.496	1.894	97.059	0.085	0.122	80.556	0.05	0.082	94.118	0.227	0.397	93.939	0.001	0.002	10
