Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	ST-mean	ST-sd	ST-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev
Bacteria	domain			99.907	99.534	1.931	100.0	98.979	3.309	100.0	99.768	1.377	100.0	99.359	2.063	100.0	0.791	1.455	83.217	98.495	4.827	100.0	99.366	0.963	100.0	98.939	1.648	100.0	99.907	0.178	100.0	99.344	1.448	100.0
Bacteria;Proteobacteria	phylum			25.078	17.814	9.737	100.0	16.828	9.912	100.0	25.078	12.074	100.0	15.156	10.586	100.0	0.057	0.201	34.266	14.044	9.521	100.0	20.208	11.171	100.0	21.012	9.745	100.0	20.821	14.639	100.0	13.747	11.567	100.0
Bacteria;Firmicutes	phylum			65.289	65.289	15.447	100.0	57.836	15.315	100.0	57.778	17.119	100.0	41.989	15.861	100.0	0.721	1.424	75.524	22.007	10.543	100.0	24.034	10.925	100.0	39.439	11.385	100.0	41.255	16.563	100.0	47.308	16.369	100.0
Bacteria;Spirochaetes	phylum			3.632	0.145	0.456	55.405	0.057	0.143	41.892	0.016	0.104	12.162	0.689	1.867	72.297	0.0	0.0	0.0	3.632	6.341	85.135	1.061	2.611	72.973	0.497	1.019	79.73	0.05	0.125	40.541	0.23	0.804	64.189
Bacteria;Actinobacteria	phylum			21.964	3.015	3.906	99.324	4.805	3.997	100.0	0.873	3.221	77.027	4.085	4.031	100.0	0.007	0.027	16.783	15.451	11.116	100.0	21.964	11.808	100.0	3.275	2.654	100.0	7.225	5.762	100.0	4.939	3.827	99.324
Bacteria;Fusobacteria	phylum			18.243	4.023	3.546	100.0	4.958	4.178	100.0	2.488	3.648	97.297	15.425	8.642	100.0	0.002	0.006	6.993	18.243	9.403	100.0	13.425	8.963	100.0	8.284	4.817	100.0	11.811	8.85	100.0	11.393	8.271	100.0
Bacteria;Bacteroidetes	phylum			26.431	9.247	7.545	100.0	14.494	8.023	100.0	13.535	13.634	99.324	22.016	11.092	100.0	0.005	0.014	15.385	25.119	10.872	100.0	18.673	8.354	100.0	26.431	9.318	100.0	18.745	8.453	100.0	21.727	10.329	100.0
Bacteria;Proteobacteria;Betaproteobacteria	class			11.735	4.274	4.692	99.324	7.391	7.558	100.0	2.275	4.545	89.189	5.543	6.288	96.622	0.001	0.008	3.497	7.7	7.184	100.0	11.735	8.273	100.0	7.755	6.982	99.324	10.457	11.426	98.649	5.908	7.281	99.324
Bacteria;Firmicutes;Bacilli	class			60.702	60.702	17.407	100.0	47.939	17.958	100.0	52.471	18.448	100.0	27.554	17.712	100.0	0.036	0.068	48.252	12.519	9.826	100.0	16.575	11.159	100.0	16.165	8.657	100.0	25.125	15.082	100.0	30.848	18.859	100.0
Bacteria;Spirochaetes;Spirochaetia	class			3.632	0.145	0.456	55.405	0.057	0.143	41.892	0.016	0.104	12.162	0.689	1.867	72.297	0.0	0.0	0.0	3.632	6.341	85.135	1.061	2.611	72.973	0.497	1.019	79.73	0.05	0.125	40.541	0.23	0.804	64.189
